bit,codigo,equipo,orden_album,slot,jugador_tipo,tier,pagina
863,UZB4,Uzbekistan,43,4,Sherzod Nasrullaev,base,94-95
864,UZB5,Uzbekistan,43,5,Umar Eshmurodov,base,94-95
865,UZB6,Uzbekistan,43,6,Husniddin Aliqulov,base,94-95
866,UZB7,Uzbekistan,43,7,Rustamjon Ashurmatov,base,94-95
867,UZB8,Uzbekistan,43,8,Khojiakbar Alijonov,base,94-95
868,UZB9,Uzbekistan,43,9,Abdukodir Khusanov,base,94-95
869,UZB10,Uzbekistan,43,10,Odiljon Hamrobekov,base,94-95
870,UZB11,Uzbekistan,43,11,Otabek Shukurov,base,94-95
871,UZB12,Uzbekistan,43,12,Jamshid Iskanderov,base,94-95
872,UZB13,Uzbekistan,43,13,Foto equipo,base,94-95
873,UZB14,Uzbekistan,43,14,Azizbek Turgunboev,base,94-95
874,UZB15,Uzbekistan,43,15,Khojimat Erkinov,base,94-95
875,UZB16,Uzbekistan,43,16,Eldor Shomurodov,base,94-95
876,UZB17,Uzbekistan,43,17,Oston Urunov,base,94-95
877,UZB18,Uzbekistan,43,18,Jaloliddin Masharipov,base,94-95
878,UZB19,Uzbekistan,43,19,Igor Sergeev,base,94-95
879,UZB20,Uzbekistan,43,20,Abbosbek Fayzullaev,base,94-95
880,COL1,Colombia,44,1,Escudo (foil),T2,96-97
881,COL2,Colombia,44,2,Camilo Vargas,base,96-97
882,COL3,Colombia,44,3,David Ospina,base,96-97
883,COL4,Colombia,44,4,Dávinson Sánchez,base,96-97
884,COL5,Colombia,44,5,Yerry Mina,base,96-97
885,COL6,Colombia,44,6,Daniel Muñoz,base,96-97
886,COL7,Colombia,44,7,Johan Mojica,base,96-97
887,COL8,Colombia,44,8,Jhon Lucumí,base,96-97
888,COL9,Colombia,44,9,Santiago Arias,base,96-97
889,COL10,Colombia,44,10,Jefferson Lerma,base,96-97
890,COL11,Colombia,44,11,Kevin Castaño,base,96-97
891,COL12,Colombia,44,12,Richard Ríos,base,96-97
892,COL13,Colombia,44,13,Foto equipo,base,96-97
893,COL14,Colombia,44,14,James Rodríguez,base,96-97
894,COL15,Colombia,44,15,Juan Fernando Quintero,base,96-97
895,COL16,Colombia,44,16,Jorge Carrascal,base,96-97
896,COL17,Colombia,44,17,Jhon Arias,base,96-97
897,COL18,Colombia,44,18,Jhon Córdoba,base,96-97
898,COL19,Colombia,44,19,Luis Suárez,base,96-97
899,COL20,Colombia,44,20,Luis Díaz,base,96-97
900,ENG1,Inglaterra,45,1,Escudo (foil),T2,98-99
901,ENG2,Inglaterra,45,2,Jordan Pickford,base,98-99
902,ENG3,Inglaterra,45,3,John Stones,base,98-99
903,ENG4,Inglaterra,45,4,Marc Guéhi,base,98-99
904,ENG5,Inglaterra,45,5,Ezri Konsa,base,98-99
905,ENG6,Inglaterra,45,6,Trent Alexander-Arnold,base,98-99
906,ENG7,Inglaterra,45,7,Reece James,base,98-99
907,ENG8,Inglaterra,45,8,Dan Burn,base,98-99
908,ENG9,Inglaterra,45,9,Jordan Henderson,base,98-99
909,ENG10,Inglaterra,45,10,Declan Rice,base,98-99
910,ENG11,Inglaterra,45,11,Jude Bellingham,T3,98-99
911,ENG12,Inglaterra,45,12,Cole Palmer,base,98-99
912,ENG13,Inglaterra,45,13,Foto equipo,base,98-99
913,ENG14,Inglaterra,45,14,Morgan Rogers,base,98-99
914,ENG15,Inglaterra,45,15,Anthony Gordon,base,98-99
915,ENG16,Inglaterra,45,16,Phil Foden,base,98-99
916,ENG17,Inglaterra,45,17,Bukayo Saka,base,98-99
917,ENG18,Inglaterra,45,18,Harry Kane,T3,98-99
918,ENG19,Inglaterra,45,19,Marcus Rashford,base,98-99
919,ENG20,Inglaterra,45,20,Ollie Watkins,base,98-99
920,CRO1,Croacia,46,1,Escudo (foil),T2,100-101
921,CRO2,Croacia,46,2,Dominik Livaković,base,100-101
922,CRO3,Croacia,46,3,Duje Ćaleta-Car,base,100-101
923,CRO4,Croacia,46,4,Joško Gvardiol,base,100-101
924,CRO5,Croacia,46,5,Josip Stanišić,base,100-101
925,CRO6,Croacia,46,6,Luka Vušković,base,100-101
926,CRO7,Croacia,46,7,Josip Šutalo,base,100-101
927,CRO8,Croacia,46,8,Kristijan Jakić,base,100-101
928,CRO9,Croacia,46,9,Luka Modrić,base,100-101
929,CRO10,Croacia,46,10,Mateo Kovačić,base,100-101
930,CRO11,Croacia,46,11,Martin Baturina,base,100-101
931,CRO12,Croacia,46,12,Lovro Majer,base,100-101
932,CRO13,Croacia,46,13,Foto equipo,base,100-101
933,CRO14,Croacia,46,14,Mario Pašalić,base,100-101
934,CRO15,Croacia,46,15,Petar Sučić,base,100-101
935,CRO16,Croacia,46,16,Ivan Perišić,base,100-101
936,CRO17,Croacia,46,17,Marco Pašalić,base,100-101
937,CRO18,Croacia,46,18,Ante Budimir,base,100-101
938,CRO19,Croacia,46,19,Andrej Kramarić,base,100-101
939,CRO20,Croacia,46,20,Franjo Ivanović,base,100-101
940,GHA1,Ghana,47,1,Escudo (foil),T2,102-103
941,GHA2,Ghana,47,2,Lawrence Ati Zigi,base,102-103
942,GHA3,Ghana,47,3,Tariq Lamptey,base,102-103
943,GHA4,Ghana,47,4,Mohammed Salisu,base,102-103
944,GHA5,Ghana,47,5,Alidu Seidu,base,102-103
945,GHA6,Ghana,47,6,Alexander Djiku,base,102-103
946,GHA7,Ghana,47,7,Gideon Mensah,base,102-103
947,GHA8,Ghana,47,8,Caleb Yirenkyi,base,102-103
948,GHA9,Ghana,47,9,Abdul Fatawu Issahaku,base,102-103
949,GHA10,Ghana,47,10,Thomas Partey,base,102-103
950,GHA11,Ghana,47,11,Salis Abdul Samed,base,102-103
951,GHA12,Ghana,47,12,Kamaldeen Sulemana,base,102-103
952,GHA13,Ghana,47,13,Foto equipo,base,102-103
953,GHA14,Ghana,47,14,Mohammed Kudus,base,102-103
954,GHA15,Ghana,47,15,Iñaki Williams,base,102-103
955,GHA16,Ghana,47,16,Jordan Ayew,base,102-103
956,GHA17,Ghana,47,17,André Ayew,base,102-103
957,GHA18,Ghana,47,18,Joseph Paintsil,base,102-103
958,GHA19,Ghana,47,19,Osman Bukari,base,102-103
959,GHA20,Ghana,47,20,Antoine Semenyo,base,102-103
960,PAN1,Panama,48,1,Escudo (foil),T2,104-105
961,PAN2,Panama,48,2,Orlando Mosquera,base,104-105
962,PAN3,Panama,48,3,Luis Mejía,base,104-105
963,PAN4,Panama,48,4,Fidel Escobar,base,104-105
964,PAN5,Panama,48,5,Andrés Andrade,base,104-105
965,PAN6,Panama,48,6,Michael Amir Murillo,base,104-105
966,PAN7,Panama,48,7,Eric Davis,base,104-105
967,PAN8,Panama,48,8,José Córdoba,base,104-105
968,PAN9,Panama,48,9,César Blackman,base,104-105
969,PAN10,Panama,48,10,Cristian Martínez,base,104-105
970,PAN11,Panama,48,11,Aníbal Godoy,base,104-105
971,PAN12,Panama,48,12,Adalberto Carrasquilla,base,104-105
972,PAN13,Panama,48,13,Foto equipo,base,104-105
973,PAN14,Panama,48,14,Édgar Bárcenas,base,104-105
974,PAN15,Panama,48,15,Carlos Harvey,base,104-105
975,PAN16,Panama,48,16,Ismael Díaz,base,104-105
976,PAN17,Panama,48,17,José Fajardo,base,104-105
977,PAN18,Panama,48,18,Cecilio Waterman,base,104-105
978,PAN19,Panama,48,19,José Luis Rodríguez,base,104-105
979,PAN20,Panama,48,20,Alberto Quintero,base,104-105
