bit,codigo,equipo,orden_album,slot,jugador_tipo,tier,pagina
263,USA4,Estados Unidos,13,4,Tim Ream,base,32-33
264,USA5,Estados Unidos,13,5,Mark McKenzie,base,32-33
265,USA6,Estados Unidos,13,6,Alex Freeman,base,32-33
266,USA7,Estados Unidos,13,7,Antonee Robinson,base,32-33
267,USA8,Estados Unidos,13,8,Tyler Adams,base,32-33
268,USA9,Estados Unidos,13,9,Tanner Tessmann,base,32-33
269,USA10,Estados Unidos,13,10,Weston McKennie,base,32-33
270,USA11,Estados Unidos,13,11,Christian Roldan,base,32-33
271,USA12,Estados Unidos,13,12,Timothy Weah,base,32-33
272,USA13,Estados Unidos,13,13,Foto equipo,base,32-33
273,USA14,Estados Unidos,13,14,Diego Luna,base,32-33
274,USA15,Estados Unidos,13,15,Malik Tillman,base,32-33
275,USA16,Estados Unidos,13,16,Christian Pulisic,base,32-33
276,USA17,Estados Unidos,13,17,Brenden Aaronson,base,32-33
277,USA18,Estados Unidos,13,18,Ricardo Pepi,base,32-33
278,USA19,Estados Unidos,13,19,Haji Wright,base,32-33
279,USA20,Estados Unidos,13,20,Folarin Balogun,base,32-33
280,PAR1,Paraguay,14,1,Escudo (foil),T2,34-35
281,PAR2,Paraguay,14,2,Roberto Fernández,base,34-35
282,PAR3,Paraguay,14,3,Orlando Gill,base,34-35
283,PAR4,Paraguay,14,4,Gustavo Gómez,base,34-35
284,PAR5,Paraguay,14,5,Fabián Balbuena,base,34-35
285,PAR6,Paraguay,14,6,Juan José Cáceres,base,34-35
286,PAR7,Paraguay,14,7,Omar Alderete,base,34-35
287,PAR8,Paraguay,14,8,Junior Alonso,base,34-35
288,PAR9,Paraguay,14,9,Mathías Villasanti,base,34-35
289,PAR10,Paraguay,14,10,Diego Gómez,base,34-35
290,PAR11,Paraguay,14,11,Damián Bobadilla,base,34-35
291,PAR12,Paraguay,14,12,Andrés Cubas,base,34-35
292,PAR13,Paraguay,14,13,Foto equipo,base,34-35
293,PAR14,Paraguay,14,14,Matías Galarza Fonda,base,34-35
294,PAR15,Paraguay,14,15,Julio Enciso,base,34-35
295,PAR16,Paraguay,14,16,Alejandro Romero Gamarra,base,34-35
296,PAR17,Paraguay,14,17,Miguel Almirón,base,34-35
297,PAR18,Paraguay,14,18,Ramón Sosa,base,34-35
298,PAR19,Paraguay,14,19,Ángel Romero,base,34-35
299,PAR20,Paraguay,14,20,Antonio Sanabria,base,34-35
300,AUS1,Australia,15,1,Escudo (foil),T2,36-37
301,AUS2,Australia,15,2,Mathew Ryan,base,36-37
302,AUS3,Australia,15,3,Joe Gauci,base,36-37
303,AUS4,Australia,15,4,Harry Souttar,base,36-37
304,AUS5,Australia,15,5,Alessandro Circati,base,36-37
305,AUS6,Australia,15,6,Jordan Bos,base,36-37
306,AUS7,Australia,15,7,Aziz Behich,base,36-37
307,AUS8,Australia,15,8,Cameron Burgess,base,36-37
308,AUS9,Australia,15,9,Lewis Miller,base,36-37
309,AUS10,Australia,15,10,Milos Degenek,base,36-37
310,AUS11,Australia,15,11,Jackson Irvine,base,36-37
311,AUS12,Australia,15,12,Riley McGree,base,36-37
312,AUS13,Australia,15,13,Foto equipo,base,36-37
313,AUS14,Australia,15,14,Aiden O'Neill,base,36-37
314,AUS15,Australia,15,15,Connor Metcalfe,base,36-37
315,AUS16,Australia,15,16,Patrick Yazbek,base,36-37
316,AUS17,Australia,15,17,Craig Goodwin,base,36-37
